# Locations file.  This file is used to create the location list as used
# in the location selection dialog.
# Format:
# + One record per line
# + Fields in a record are delimited with the tab character
# + Line beginning with a # character are comments
# + Field are as follows:
#   - LocationName
#   - Provice/State
#   - Region (Code/Full English Name)
#   - Type code (C/B=Capital, R=Regional capital,N=Normal city,
#                O=Observatory, L=lander, I=spacecraft impact
#                A=spacecraft crash
#   - Population (thousand)
#   - Latitude (deg[N/S])
#   - Longitude (deg[E/W])
#   - Altitude (meters)
#   - Light Pollution (1-9 Bortle scale, empty=auto)
#   - TimeZone (empty=auto)
#   - Planet (empty=Earth)
#   - LandscapeKey (empty=auto)
les Escaldes	Escaldes-Engordany	19	R	15.853	42.50729N	1.53414E	1033	5	Europe/Andorra
Andorra la Vella	Andorra la Vella	19	C	20.43	42.50779N	1.52109E	1037	5	Europe/Andorra
Umm Al Quwain City	Imarat Umm al Qaywayn	16	R	62.747	25.56473N	55.55517E	2	6	Asia/Dubai
Ras Al Khaimah City	Imarat Ra's al Khaymah	16	R	351.943	25.78953N	55.9432E	2	7	Asia/Dubai
Zayed City	Abu Dhabi	16	N	63.482	23.65416N	53.70522E	118	6	Asia/Dubai
Khawr Fakkan	Sharjah	16	N	40.677	25.33132N	56.34199E	20	5	Asia/Dubai
Dubai	Dubai	16	R	3478.3	25.07725N	55.30927E	24	9	Asia/Dubai
Dibba Al-Fujairah	Fujairah	16	N	30	25.59246N	56.26176E	16	5	Asia/Dubai
Dibba Al-Hisn	Fujairah	16	N	26.395	25.61955N	56.27291E	4	5	Asia/Dubai
Sharjah	Sharjah	16	R	1274.749	25.33737N	55.41206E	6	9	Asia/Dubai
Ar Ruways	Abu Dhabi	16	N	25	24.11028N	52.73056E	16	5	Asia/Dubai
Al Fujairah City	Fujairah	16	R	86.512	25.11641N	56.34141E	15	6	Asia/Dubai
Al Ain City	Abu Dhabi	16	N	846.747	24.19167N	55.76056E	275	8	Asia/Dubai
Ajman City	Ajman	16	R	490.035	25.40177N	55.47878E	2	7	Asia/Dubai
Adh Dhayd	Sharjah	16	N	20.165	25.28812N	55.88157E	114	5	Asia/Dubai
Abu Dhabi	Abu Dhabi	16	C	1807	24.45118N	54.39696E	6	9	Asia/Dubai
Khalifah A City	Abu Dhabi	16	N	85.374	24.42588N	54.605E	0	6	Asia/Dubai
Bani Yas City	Abu Dhabi	16	N	80.498	24.30978N	54.62944E	14	6	Asia/Dubai
Musaffah	Abu Dhabi	16	N	243.341	24.35893N	54.48267E	7	7	Asia/Dubai
Al Shamkhah City	Abu Dhabi	16	N	61.71	24.39268N	54.70779E	34	6	Asia/Dubai
Reef Al Fujairah City	Fujairah	16	N	82.31	25.14479N	56.24764E	129	6	Asia/Dubai
Zaranj	Nimroz	15	R	49.851	30.95962N	61.86037E	489	5	Asia/Kabul
Bazar-e Yakawlang	Bamyan	15	N	65	34.73525N	66.97379E	2585	6	Asia/Kabul
Taloqan	Takhar	15	R	64.256	36.73605N	69.53451E	801	6	Asia/Kabul
Shindand	Herat	15	N	29.264	33.30294N	62.1474E	1071	5	Asia/Kabul
Shibirghan	Jowzjan	15	R	55.641	36.66757N	65.7529E	360	6	Asia/Kabul
Shahrak	Ghowr	15	N	15.967	34.10737N	64.3052E	2357	5	Asia/Kabul
Sar-e Pul	Sar-e Pol Province	15	R	52.121	36.21544N	65.93249E	636	6	Asia/Kabul
Sang-e Charak	Sar-e Pol Province	15	N	15.377	35.84972N	66.43694E	1483	5	Asia/Kabul
Aibak	Samangan	15	R	47.823	36.26468N	68.01551E	969	5	Asia/Kabul
Rustaq	Takhar	15	N	25.636	37.12604N	69.83045E	1314	5	Asia/Kabul
Qarqin	Jowzjan	15	N	15.018	37.41853N	66.04358E	263	5	Asia/Kabul
Qarawul	Kunduz	15	N	24.544	37.21959N	68.7802E	337	5	Asia/Kabul
Pul-e Khumri	Baghlan	15	R	56.369	35.94458N	68.71512E	638	6	Asia/Kabul
Paghman	Kabul	15	N	49.157	34.58787N	68.95091E	2328	5	Asia/Kabul
