# ISO 631 language codes
#
# This file contains a table of country codes and names of languages.  
# Columns are separated by a single tab.  Lines beginning with '#' are comments.
# All text uses UTF-8 encoding.  The columns of the table are as follows:
#
# 1.  ISO 631-1 (ISO 639-3): two-letter language codes (three-letter language 
#     codes for languages not in ISO 631-1 list)
# 2.  English name of language
# 3.  Self-name of language
#
aa	Afar	Qafár af 
ab	Abkhazian	Аҧсуа бызшәа 
ae	Avestan	Avestan
af	Afrikaans	Afrikaans
ak	Akan	Akan
am	Amharic	አማርኛ
an	Aragonese	Aragonés
ar	Arabic	‫العربية‬
as	Assamese	অসমীয়া
ast	Asturian	Asturianu
av	Avaric	Авар мацӀ
ay	Aymara	Aymar aru
az	Azerbaijani	Azərbaycan dili
ba	Bashkir	Башҡорт теле
be	Belarusian	Беларуская мова
ber	Berber	Tamaziɣt
bg	Bulgarian	Български език
bh	Bihari	भोजपुरी
bi	Bislama	Bislama
bm	Bambara	Bamanankan
bn	Bengali	বাংলা
bo	Tibetan	བོད་ཡིག
br	Breton	Brezhoneg
bs	Bosnian	Bosanski jezik
ca	Catalan	Català
ca@valencia	Catalan (Valencian)	Català (Valencià)
ce	Chechen	Нохчийн мотт
ckb	Central Kurdish	کوردیی ناوەندی, سۆرانی
ch	Chamorro	Chamoru
co	Corsican	Corsu
cr	Cree	ᓀᐦᐃᔭᐍᐏᐣ
cs	Czech	Čeština
csb	Kashubian	kaszëbsczi jãzëk
cnr	Montenegrin	Crnogorski/Црногорски
cu	Slavonic	Словѣньскъ ѩꙁꙑкъ
cv	Chuvash	Чăваш чĕлхи
cy	Welsh	Cymraeg
da	Danish	Dansk
de	German	Deutsch
dv	Divehi	‫ދިވެހި‬
dz	Dzongkha	རྫོང་ཁ
ee	Ewe	Ɛʋɛgbɛ
el	Greek	Ελληνικά
en	English	English
en_AU	English (Australia)	English (Australia)
en_BD	English (Bangladesh)	English (Bangladesh)
en_CA	English (Canada)	English (Canada)
en_GB	English (UnitedKingdom)	English (United Kingdom)
en_US	English (UnitedStates)	English (United States)
en_IN	English (India)	English (India)
eo	Esperanto	Esperanto
es	Spanish	Español
es_419	Spanish (Latin America)	Español (America Latina)
es_AR	Spanish (Rioplatense)	Español (Rioplatense)
es_CL	Spanish (Chilean)	Español (Chileno)
et	Estonian	Eesti keel
eu	Basque	Euskara
fa	Persian	‫فارسی‬
ff	Fulah	Fulfulde
fi	Finnish	Suomen kieli
fil	Filipino	Wikang Filipino
fj	Fijian	Na vosa vaka-Viti
fo	Faroese	Føroyskt
fr	French	Français
fr_CA	French (Canada)	Français (Canadien)
fy	Western Frisian	Frysk
ga	Irish	Gaeilge
gd	Gaelic	Gàidhlig
gl	Galician	Galego
gn	Guaraní	Avañe'ẽ
gu	Gujarati	ગુજરાતી
gv	Manx	Ghaelg
ha	Hausa	‫هَوُسَ‬
haw	Hawaiian	‘Ōlelo Hawai‘i
he	Hebrew	‫עברית‬
hi	Hindi	हिन्दी
hne	Chhattisgarhi	छत्तीसगढ़ी
ho	Hiri Motu	Hiri Motu
hr	Croatian	Hrvatski jezik
hrx	Hunsrik	Hunns-rikk
ht	Haitian	Kreyòl ayisyen
hu	Hungarian	Magyar
hy	Armenian	Հայերեն
hz	Herero	Otjiherero
ia	Interlingua	Interlingua
id	Indonesian	Bahasa Indonesia
ie	Interlingue	Interlingue
ig	Igbo	Igbo
ii	Sichuan Yi	ꆇꉙ
ik	Inupiaq	Iñupiatun
io	Ido	Ido
is	Icelandic	Íslenska
it	Italian	Italiano
iu	Inuktitut	ᐃᓄᒃᑎᑐᑦ
ja	Japanese	日本語 (にほんご)
jv	Javanese	Basa Jawa
