# name, mass, radius, period, axis, eccentricity, inclination, angular_distance, publication_status_letter, discovered, updated, omega, tperi, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
11 Com b,19.4,,326.03,1.29,0.231,,0.011664,R,2008,2011-12-23,94.8,2452899.6,detected by radial velocity,,11 Com,12:20:43.0,+17:47:34,4.74,,,,,110.6,-0.35,2.7,19.0,G8 III,,4742.0
11 UMi b,10.5,,516.22,1.54,0.08,,0.012887,R,2009,2009-08-13,117.63,2452861.05,detected by radial velocity,,11 UMi,15:17:06.0,+71:49:26,5.02,,,,,119.5,0.04,1.8,24.08,K4III,1.56,4340.0
14 And b,4.8,,185.84,0.83,0.0,,0.010864,R,2008,2008-07-11,,2861.4,detected by radial velocity,,14 And,23:31:17.0,+39:14:10,5.22,4.1,3.02,2.61,2.33,76.4,-0.24,2.2,11.0,K0III,,4813.0
14 Her b,4.64,,1773.4,2.77,0.369,,0.153039,R,2002,2009-10-07,22.6,51372.7,detected by radial velocity,,14 Her,16:10:23.0,+43:49:18,6.67,,,,,18.1,0.43,0.9,0.708,K0 V,5.1,5311.0
16 Cyg B b,1.68,,799.5,1.68,0.689,,0.078468,R,1996,2009-10-07,83.4,50539.3,detected by radial velocity,,16 Cyg B,19:41:51.0,+50:31:03,6.2,,,,,21.41,0.08,1.01,0.98,G2.5 V,8.0,5766.0
18 Del b,10.3,,993.3,2.6,0.08,,0.035568,R,2008,2008-02-20,166.1,1672.0,detected by radial velocity,,18 Del,20:58:26.0,+10:50:21,5.52,,4.03,3.44,3.67,73.1,-0.052,2.3,8.5,G6III,,4979.0
1RXS1609 b,14.0,1.7,,330.0,,,2.275862,R,2008,2011-12-14,,,detected by imaging,"H2O, CO, H2",1RXS1609,16:09:30.0,-21:04:58,,10.99,9.82,9.12,8.92,145.0,,0.73,1.35,K7V,0.011,4060.0
24 Sex b,1.99,,452.8,1.333,0.09,,0.017821,R,2010,2010-07-28,9.2,2454762.0,detected by radial velocity,,24 Sex,10:23:28.0,+00:54:08,7.38,,,,,74.8,-0.03,1.54,4.9,G5,2.7,5098.0
24 Sex c,0.86,,883.0,2.08,0.29,,0.027807,R,2010,2010-07-28,220.5,2454930.0,detected by radial velocity,,24 Sex,10:23:28.0,+00:54:08,7.38,,,,,74.8,-0.03,1.54,4.9,G5,2.7,5098.0
2M 044144 b,7.5,,,15.0,,,0.107143,R,2010,2010-04-06,,,detected by imaging,,2M 044144,04:41:45.0,+23:01:51,,,14.2,13.72,13.16,140.0,,0.02,,M8.5,0.001,
2M 0746+20 b,30.0,0.97,4640.0,2.897,0.487,138.2,0.237265,R,2010,2012-01-20,354.4,,detected by imaging,,2M 0746+20,07:46:43.0,+20:00:32,,,,,,12.21,,0.12,0.089,,,2205.0
2M 2140+16 b,20.0,0.92,7340.0,3.53,0.26,46.2,0.1412,R,2010,2012-01-20,223.0,,detected by imaging,,2M 2140+16,21:40:29.0,+16:25:18,,,,,,25.0,,0.08,0.1,,,2300.0
