"Planet Name";"Pl. Mass";"Pl. Radius";"Pl. Period";"Pl. Semi-axis";"Pl. Ecc.";"Pl. Incl.";"Ang. Dist.";"Pl. Transit Time";"Pl. Secondary Transit Time";"Pl. Tperi";"Pl. omega";"St. Dist";"St. Spec. Type";"St. Mass";"St. [Fe/H]";"St. Right Asc.";"St. Decli.";"St. Mag. V.";"St. Mag. I";"St. Mag. H";"St. Mag. J";"St. Mag. K";"St. Radius";"St. Effect Temp";"St. Age";
"11 Com b";"19.4";;"326.03";"1.29";"0.231";;"0.011664";;;"2452899.6";"94.8";"110.6";"G8 III";"2.7";"-0.35";"12 20 43";"+17 47 34";"4.74";;;;;"19";"4742";;
"11 UMi b";"10.5";;"516.22";"1.54";"0.08";;"0.012887";;;"2452861.05";"117.63";"119.5";"K4III";"1.8";"0.04";"15 17 06";"+71 49 26";"5.02";;;;;"24.08";"4340";"1.56";
"14 And b";"4.8";;"185.84";"0.83";"0.0";;"0.010864";;;"2861.4";;"76.4";"K0III";"2.2";"-0.24";"23 31 17";"+39 14 10";"5.22";"4.1";"2.61";"3.02";"2.33";"11";"4813";;
"14 Her b";"4.64";;"1773.4";"2.77";"0.369";;"0.153039";;;"51372.7";"22.6";"18.1";"K0 V";"0.9";"0.43";"16 10 23";"+43 49 18";"6.67";;;;;"0.708";"5311";"5.1";
"16 Cyg B b";"1.68";;"799.5";"1.68";"0.689";;"0.078468";;;"50539.3";"83.4";"21.41";"G2.5 V";"1.01";"0.08";"19 41 51";"+50 31 03";"6.2";;;;;"0.98";"5766";"8";
"18 Del b";"10.3";;"993.3";"2.6";"0.08";;"0.035568";;;"1672";"166.1";"73.1";"G6III";"2.3";"-0.052";"20 58 26";"+10 50 21";"5.52";;"3.44";"4.03";"3.67";"8.5";"4979";;
"1RXS1609 b";"14";"1.7";;"330";;;"2.275862";;;;;"145";"K7V";"0.73";;"16 09 30";"-21 04 58";;"10.99";"9.12";"9.82";"8.92";"1.35";"4060";"0.011";
"24 Sex b";"1.99";;"452.8";"1.333";"0.09";;"0.017821";;;"2454762";"9.2";"74.8";"G5";"1.54";"-0.03";"10 23 28";"-00 54 08";"7.38";;;;;"4.9";"5098";"2.7";
"24 Sex c";"0.86";;"883";"2.08";"0.29";;"0.027807";;;"2454930";"220.5";"74.8";"G5";"1.54";"-0.03";"10 23 28";"-00 54 08";"7.38";;;;;"4.9";"5098";"2.7";
"2M 044144 b";"7.5";;;"15";;;"0.107143";;;;;"140";"M8.5";"0.02";;"04 41 45";"+23 01 51";;;"13.72";"14.2";"13.16";;;"0.001";
"2M 0746+20 b";"30";"0.97";"4640";"2.897";"0.487";"138.2";"0.237265";;;;"354.4";"12.21";;"0.12";;"07 46 43";"+20 00 32";;;;;;"0.089";"2205";;
"2M 2140+16 b";"20";"0.92";"7340";"3.53";"0.26";"46.2";"0.1412";;;;"223";"25";;"0.08";;"21 40 29";"+16 25 18";;;;;;"0.1";"2300";;
"2M 2206-20 b";"30";"1.3";"8686";"4.48";"0.0";"44.3";"0.167979";;;;;"26.67";;"0.13";;"22 06 23";"-20 47 06";;;;;;"0.11";"2350";;
"2M1207 b";"4";;;"46";;;"0.877863";;;;;"52.4";"M8";"0.025";;"12 07 33";"-39 32 54";"20.15";"15.95";;"13";;;;"0.008";
"30 Ari B b";"9.88";;"335.1";"0.995";"0.289";;"0.025254";;;"2454538";"307";"39.4";"F6V";"1.13";"0.07";"02 36 58";"+24 38 53";"7.1";;;;;"1.13";"6424";"0.91";
