#
#   VizieR Astronomical Server vizier.ast.cam.ac.uk	2012-01-25T18:18:02 [V1.80]
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VIZ4f2046835ed	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_7189
#Name: VII/189
#Title: Catalog of Pulsars (Taylor+ 1995)
#Table	VII_189_table1:
#Name: VII/189/table1
#Title: Observed and Derived parameters (tables 1, 2 and 4 of the publication)
#Column	_RAJ2000	(A11)	Right ascension (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(A11)	Declination (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	Jname	(a12)	J2000 pulsar name	[ucd=meta.id;meta.main]
#Column	dist	(F8.2)	Adopted distance of pulsar in kpc	[ucd=pos.distance]
#Column	P	(F19.16)	Barycentric period in seconds	[ucd=time.period]
#Column	ntype	(I6)	Octal code for pulsar type	[ucd=src.class]
#Column	We	(F10.2)	Equivalent width of the integrated pulse profile in ms	[ucd=src.var.pulse]
#Column	w50	(F10.2)	Profile width at 50% of peak in ms	[ucd=src.var.pulse]
#Column	s400	(F8.2)	Time averaged flux density at 400MHz in mJy	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	s600	(F8.2)	Time averaged flux density at 600MHz in mJy	[ucd=phot.flux.density;em.radio.400-750MHz]
#Column	s1400	(F8.2)	Time averaged flux density at 1400MHz in mJy	[ucd=phot.flux.density;em.radio.750-1500MHz]
_RAJ2000;_DEJ2000;Jname;dist;P;ntype;We;w50;s400;s600;s1400
"h:m:s";"d:m:s"; ;kpc;s; ;ms;ms;mJy;mJy;mJy
-----------;-----------;------------;--------;-------------------;------;----------;----------;--------;--------;--------
00 06 04.80;+18 34 59.0;0006+1834   ;    0.70; 0.6937476704700000;     0;      0.00;     82.00;    0.20;    0.00;    0.00
00 14 17.74;+47 46 33.1;0014+4746   ;    1.84; 1.2406989780800000;     0;    155.00;     88.70;   14.00;    9.00;    3.00
00 23 50.34;-72 04 31.5;0023-7204C  ;    4.50; 0.0057567800116100;    61;      0.00;      0.80;    1.53;    1.54;    0.60
00 24 13.88;-72 04 43.8;0024-7204D  ;    4.50; 0.0053575732859000;   161;      0.00;      0.60;    0.95;    0.55;    0.00
00 24 05.91;-72 04 23.0;0024-7204E  ;    4.50; 0.0035363290000000;    71;      0.00;      0.90;    0.00;    0.00;    0.00
00 24 05.91;-72 04 22.9;0024-7204F  ;    4.50; 0.0026235790000000;    61;      0.00;      0.50;    0.00;    0.00;    0.00
00 24 05.91;-72 04 22.9;0024-7204G  ;    4.50; 0.0040403790000000;    61;      0.00;      0.70;    0.00;    0.00;    0.00
00 24 05.91;-72 04 22.9;0024-7204H  ;    4.50; 0.0032105000000000;    71;      0.00;      0.60;    0.00;    0.00;    0.00
00 24 05.91;-72 04 23.0;0024-7204I  ;    4.50; 0.0034849930000000;    71;      0.00;      0.80;    0.00;    0.00;    0.00
00 24 05.91;-72 04 22.9;0024-7204J  ;    4.50; 0.0021006334000000;    71;      0.00;      0.50;    0.00;    0.00;    0.00
00 24 05.91;-72 04 22.9;0024-7204L  ;    4.50; 0.0043461700000000;   161;      0.00;      0.70;    0.00;    0.00;    0.00
00 24 05.91;-72 04 22.9;0024-7204M  ;    4.50; 0.0036766600000000;    61;      0.00;      1.20;    0.00;    0.00;    0.00
