Ascent Pattern Set			15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0	
																			
CCD:	Ascent 285		#NAME?																
System:	Ascent 		- step 0 must be final resting  state																
Pattern	AS5 																		
Date:	4/2/2010	Time (nS)	Latching	ADD/FIFO	RIGHT	FIFO		SAM 2L	SAM 1L	SAM 2R	SAM 1R	ADCLK	SW	S3	S2	S1	R	Stop	Row
	Mask		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
	BIN 1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
		10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2
		20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3
		30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4
		40	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5
	END	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6
