Ascent Pattern Set			15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0	
																			
CCD:	Kodak AV2/A4022/A2021																		
System:	Ascent																		
Pattern	Vertical																		
Date:	10/2/2010	Time (uS)	.	.	.	.	.	.	SUB					P3	P4	P2	P1	Stop	Row
	Mask		0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	
	Start	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
		0.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
		1.28	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
		1.92	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4
	 	2.56	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5
		3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6
		3.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8
		4.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9
		5.12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	10
		5.76	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	11
		6.4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	12
		7.04	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	13
		7.68	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	14
		8.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16
		8.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17
		9.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	18
	END 	10.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	19
