Configuration Matrix Start Identifier	CCD	Camera ID	Camera Line	Camera Model (U or E Prefix)	Interline CCD?	Supports Serial Port A? (Driver INFO)	Supports Serial Port B? (Driver INFO)	CCD Sensor Type? - (TRUE=CCD or FALSE=CMOS)	Total Columns	Imaging Columns	Clamp Columns (R13)	Pre ROI Skip Columns	Post ROI Skip Columns (R16)	Overscan Columns (R17)	Total Rows	Imaging Rows	Default Vertical Offset (Underscan) (R30)	Vertical Overscan Rows	Default Vflush binning	Enable Single Row ROI Offset?	Row Offset Binning	Hflush Disable? (R2.6)	"Default Shutter Close Delay, ms (R20)"	"Pixel Size (x), u - INFO"	"Pixel Size (y), u - INFO"	Color? - INFO	Gain (16) - INFO	"Minimum Suggested Exp Time, ms (Driver INFO)"	Camera Supports Cooling? (Driver INFO)	Camera Supports Regulated Cooling? (Driver INFO)	Default Desired Temperature - Degrees C (R55)	Temperature Ramp 1 Rate (R57)	Temperature Ramp 2 Rate (R58)	Default Backoff Temp Value - Degrees C (R60)	PRI A/D Type	ALT A/D Type	PRI A/D Latency	ALT A/D Latency	"IR Preflash Time, ms (R23 - share w/strobe pos)"	A/D Configuration Value (R62)	Default A/D Gain Value - LEFT (R62)	Default Clamp/Offset Value - LEFT (R62)	Default A/D Gain Value - RIGHT (R62)	Default Clamp/Offset Value - RIGHT (R62)	Default R Voltage (R27)	Default Data Reduction?	Video Subsample	amp_cutoff_disable	num Ad Outputs	Supports Single/Dual Readout Switching?	Vertical Pattern (.txt)	"Skip Pattern, 16 bit, gain 1 (.txt)"	"Clamp Pattern, 16 bit, gain 1 (.txt)"	"ROI Pattern, 16 bit, gain 1 (.txt)"	"Skip Pattern, 12 bit (.txt)"	"Clamp Pattern, 12 bit (.txt)"	"ROI Pattern, 12 bit (.txt)"	"Vertical Pattern, Video (.txt)"	"Skip Pattern, Video (.txt)"	"Clamp Pattern,  Video (.txt)"	"ROI Pattern, Video (.txt)"	"Skip Pattern Dual, normal (.txt)"	"Clamp Pattern Dual, normal (.txt)"	"ROI Pattern Dual, normal (.txt)"	"Skip Pattern Dual, fast (.txt)"	"Clamp Pattern Dual, fast (.txt)"	"ROI Pattern Dual, Fast (.txt)"
StartCcd	KAF0401E	0	Alta	1	FALSE	TRUE	TRUE	TRUE	796	768	14	0	0	14	520	512	4	4	1	FALSE	1	FALSE	100	9	9	FALSE	1.5	10	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	0	100	0	0	1000	FALSE	1	0	1	FALSE	KV1	K16HS1	K16HC1	K16HR1	K12HS4	K12HC4	K12HR4	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF1602E	1	Alta	2	FALSE	TRUE	TRUE	TRUE	1564	1536	14	0	0	14	1032	1024	4	4	1	FALSE	1	FALSE	100	9	9	FALSE	1.5	10	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	0	100	0	0	1000	FALSE	1	0	1	FALSE	KV1	K16HS1	K16HC1	K16HR1	K12HS4	K12HC4	K12HR4	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF0261E	2	Alta	260	FALSE	TRUE	TRUE	TRUE	530	512	12	0	0	6	520	512	4	4	1	FALSE	1	FALSE	200	20	20	FALSE	3	10	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	0	250	0	0	1000	FALSE	1	0	1	FALSE	KV1	K16HS1	K16HC1	K16HR1	K12HS4	K12HC4	K12HR4	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF1301E	3	Alta	13	FALSE	TRUE	TRUE	TRUE	1305	1280	4	0	0	21	1028	1024	2	2	1	FALSE	1	FALSE	300	16	16	FALSE	3	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	0	200	0	0	1000	FALSE	1	0	1	FALSE	KV1	K16HS1	K16HC1	K16HR1	K12HS4	K12HC4	K12HR4	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF09000	4	Alta	9000	FALSE	TRUE	TRUE	TRUE	3103	3056	35	0	0	12	3086	3056	20	10	1	FALSE	1	FALSE	300	12	12	FALSE	1.5	30	TRUE	TRUE	-20	1500	4000	2	1	2	1	12	160	8	0	150	0	0	1000	FALSE	1	0	1	FALSE	KV7	K16HS7	K16HS7	K16HR7	K12HS7	K12HC7	K12HR7	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF1001E	5	Alta	6	FALSE	TRUE	TRUE	TRUE	1044	1024	8	0	0	12	1032	1024	4	4	1	FALSE	1	FALSE	300	24	24	FALSE	3	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	0	250	0	0	1000	FALSE	1	0	1	FALSE	KV1	K16HS1	K16HC1	K16HR1	K12HS4	K12HC4	K12HR4	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF3200E	6	Alta	32	FALSE	TRUE	TRUE	TRUE	2267	2184	46	0	0	37	1510	1472	34	4	1	FALSE	1	FALSE	100	6.8	6.8	FALSE	1	10	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	100	100	0	0	1000	FALSE	1	0	1	FALSE	KV2	K16HS2	K16HC2	K16HR2	K12HS2	K12HC2	K12HR2	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF3200EB	7	Alta	32	FALSE	TRUE	TRUE	TRUE	2267	2184	46	0	0	37	1510	1472	34	4	1	FALSE	1	FALSE	100	6.8	6.8	FALSE	1	10	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	100	100	0	0	1000	FALSE	1	0	1	FALSE	KV2B	K16HS2B	K16HC2B	K16HR2B	K12HS2B	K12HC2B	K12HR2B	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF6303E	8	Alta	9	FALSE	TRUE	TRUE	TRUE	3100	3073	15	0	0	12	2056	2048	4	4	1	FALSE	1	FALSE	300	9	9	FALSE	1.5	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	0	100	0	0	1000	FALSE	1	0	1	FALSE	KV1	K16HS1	K16HC1	K16HR1	K12HS4	K12HC4	K12HR4	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF16801E	9	Alta	16	FALSE	TRUE	TRUE	TRUE	4152	4096	36	0	0	20	4129	4096	21	11	1	FALSE	1	FALSE	300	9	9	FALSE	1.5	30	TRUE	TRUE	-20	1500	4000	2	1	2	1	12	160	8	100	255	0	0	1000	FALSE	1	0	1	FALSE	KV4	K16HS2	K16HC2	K16HR2	K12HS2	K12HC2	K12HR2	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	CCD4710	10	Alta	47	FALSE	TRUE	TRUE	TRUE	1072	1024	24	0	0	24	1027	1024	3	0	1	FALSE	1	FALSE	300	13	13	FALSE	2	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	400	200	0	0	1000	FALSE	1	0	1	FALSE	MV1	M16HS1	M16HS1	M16HR3	M12HS	M12HC	M12HR	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	S101401007	11	Alta	1007	FALSE	TRUE	TRUE	TRUE	1044	1024	10	0	0	10	128	122	4	2	4	FALSE	1	FALSE	50	12	12	FALSE	1.5	30	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	100	100	0	0	1000	FALSE	1	0	1	FALSE	HV1	H16HS	H16HS	H16HR	H12HS	H12HC	H12HR	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	CCD4710alt	12	Alta	47	FALSE	TRUE	TRUE	TRUE	1072	1024	24	0	0	24	1027	1024	3	0	1	FALSE	1	TRUE	300	13	13	FALSE	2	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	400	200	0	0	1000	FALSE	1	0	1	FALSE	MV1	M16HS1	M16HS1	M16HR3	M12HS	M12HC	M12HR	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	CCD4240NIMOD9	13	Alta	42D9	FALSE	TRUE	TRUE	TRUE	2148	2048	50	0	0	50	2052	2048	2	2	1	FALSE	1	FALSE	450	13.5	13.5	FALSE	2	30	TRUE	TRUE	-20	700	4000	2	1	2	1	12	35	8	400	200	0	0	1000	FALSE	1	0	1	FALSE	MV2CN	M16HS1C	M16HS1C	M16HR3C	M12HSC	M12HCC	M12HRC	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	TH7899	14	Alta	10	FALSE	TRUE	TRUE	TRUE	2110	2048	25	5	5	27	2054	2048	3	3	4	FALSE	1	FALSE	450	14	14	FALSE	2	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	100	255	0	0	1000	FALSE	1	0	1	FALSE	XAV1	A16HS	A16HS	A16HR	A12HS	A12HC	A12HR	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	S101401009	15	Alta	1009	FALSE	TRUE	TRUE	TRUE	1044	1024	10	0	0	10	512	506	4	2	4	FALSE	1	FALSE	50	12	12	FALSE	1.5	30	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	100	100	0	0	1000	FALSE	1	0	1	FALSE	HV1	H16HS	H16HS	H16HR	H12HS	H12HC	H12HR	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	CCD4240	16	Alta	42	FALSE	TRUE	TRUE	TRUE	2148	2048	50	0	0	50	2052	2048	2	2	1	FALSE	1	FALSE	450	13.5	13.5	FALSE	2	20	TRUE	TRUE	-20	400	4000	2	1	2	1	12	160	8	400	200	0	0	1000	FALSE	1	0	1	FALSE	MV2	M16HS1	M16HS1	M16HR3	M12HS	M12HC	M12HR	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	CCD3011B	17	Alta	30	FALSE	TRUE	TRUE	TRUE	1040	1024	8	0	0	8	256	256	0	0	1	FALSE	1	FALSE	300	26	26	FALSE	2	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	400	200	0	0	1000	FALSE	1	0	1	FALSE	MV2B	M16HS1B	M16HS1B	M16HR5B	M12HSB	M12HCB	M12HRB	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	CCD5710	18	Alta	57	FALSE	TRUE	TRUE	TRUE	536	512	24	0	0	12	1056	512	540	4	1	TRUE	540	FALSE	0	13	13	FALSE	2	1	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	400	250	0	0	1000	FALSE	1	0	1	FALSE	MV4	M16HS1	M16HS1	M16HR3	M12HS	M12HC	M12HR	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	CCD5520B	19	Alta	55	FALSE	TRUE	TRUE	TRUE	804	770	17	0	0	17	1152	1152	0	0	1	FALSE	1	FALSE	300	22.5	22.5	FALSE	2	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	400	200	0	0	1000	FALSE	1	0	1	FALSE	MV2B	M16HS1B	M16HS1B	M16HR3B	M12HSB	M12HCB	M12HRB	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	CCD3011	20	Alta	30	FALSE	TRUE	TRUE	TRUE	1040	1024	8	0	0	8	256	256	0	0	1	FALSE	1	FALSE	300	26	26	FALSE	2	30	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	400	200	0	0	1000	FALSE	1	0	1	FALSE	MV2	M16HS1	M16HS1	M16HR5	M12HS	M12HC	M12HR	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	CCD4720B	21	Alta	4720	FALSE	TRUE	TRUE	TRUE	1072	1024	24	0	0	24	2058	1024	1033	1	1	TRUE	1033	FALSE	0	13	13	FALSE	2	1	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	400	200	0	0	1000	FALSE	1	0	1	FALSE	MV4B	M16HS1B	M16HS1B	M16HR3B	M12HSB	M12HCB	M12HRB	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	CCD5520	22	Alta	55	FALSE	TRUE	TRUE	TRUE	804	770	17	0	0	17	1152	1152	0	0	1	FALSE	1	FALSE	300	22.5	22.5	FALSE	2	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	400	200	0	0	1000	FALSE	1	0	1	FALSE	MV2	M16HS1	M16HS1	M16HR3	M12HS	M12HC	M12HR	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	CCD7700B	23	Alta	77	FALSE	TRUE	TRUE	TRUE	527	512	15	0	0	0	512	512	0	0	1	FALSE	1	FALSE	300	24	24	FALSE	2	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	400	200	0	0	1000	FALSE	1	0	1	FALSE	MV1B	M16HS1B	M16HS1B	M16HR3B	M12HSB	M12HCB	M12HRB	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	CCD4720	24	Alta	4720	FALSE	TRUE	TRUE	TRUE	1072	1024	24	0	0	24	2058	1024	1033	1	1	TRUE	1033	FALSE	0	13	13	FALSE	2	1	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	400	200	0	0	1000	FALSE	1	0	1	FALSE	MV4	M16HS1	M16HS1	M16HR3	M12HS	M12HC	M12HR	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	S101401107D9	25	Alta	1107D9	FALSE	TRUE	TRUE	TRUE	2068	2048	10	0	0	10	128	122	4	2	4	FALSE	1	FALSE	300	12	12	FALSE	1	30	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	100	100	0	0	1000	FALSE	1	0	1	FALSE	HV1	H16HSi	H16HSi	H16HRi	H12HSi	H12HCi	H12HRi	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	CCD7700	26	Alta	77	FALSE	TRUE	TRUE	TRUE	527	512	15	0	0	0	512	512	0	0	1	FALSE	1	FALSE	300	24	24	FALSE	2	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	400	200	0	0	1000	FALSE	1	0	1	FALSE	MV7	M16HS7	M16HS7	M16HR7	M12HS7	M12HC7	M12HR7	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
