# HIP		SAO	HD	HR
1		128522	224700	
2		165988	224690	
3		73664	224699	
4		248095	224707	
5		231883	224705	
7		108952		
8			224709	
9		73666	224708	
10		248096	224717	
11		53560	224720	
12		214908	224715	
13		192308	224728	
14		147023	224726	
15		35975	236267	
17		231884	224732	
19		73668	224721	
20		91645	224723	
21		128523	224724	
22		231887	224735	
23		108955	224742	
24		192311	224746	
25		231888	224750	9077
26		165992	224744	
27		231889	224748	
28		231890	224749	
29		231891	224751	
30		53562	224757	
31		128524	224760	
32		35980	224756	
33		165993	224743	
34		91648	224758	9078
35		165994	224745	
36		108956	224759	
37			224764	
38			224752	
39		165995	224763	
41		35981	224768	
42		91650	224771	
43		35983	224784	9079
44		147026	224776	
45			224766	
46		192313	224778	
48		231892	224780	
49		108957		
50		248097	224782	
51		128528	224774	
52			224767	
55		255620	224783	
56		147028	224785	
57		255621	224789	
58		20994	224792	
59		35984	236270	
60			224788	
61		35985	236269	
62		231893	224800	
63		53568	224801	9080
64		192314	224798	
66		258205	224790	
67		91653	224806	
68		108960	224808	
69		73677	224804	
71		73678	224803	
72		165996	224810	
73		20995	224826	
74		73680		
75		248099	224821	
76		73681		
77		214920	224820	
78		108962	224816	
79		73683		
80		165997	224817	
81		147031	224828	
82		165998		
83		35991	236274	
84		91657		
86		20998	224836	
87		147032	224829	
88		231895	224834	9081
89		35993	224837	
90		231896	224842	
91		147033	224840	
92		192320	224841	
93		147034	224839	
94		214921		
95		166000	224847	
98		248102	224851	
97		192321	224849	
99		21002	224855	
100		108964	224844	
101		231897	224864	
102		231898	224850	
103		255622	224853	
104		214922	224863	
105		10931	224854	
106		53573	224870	9083
107		248103	224865	9082
108			224866	
109		128535	224875	
110		73690	224873	
113		53578	224881	
114		73691	224882	
115		255624	224878	
116		214926	224886	
117			224879	
118		147037	224883	
119		53579	224894	
120		231900	224902	
121		91659	224895	
122		258207	224889	9084
123		10933	224891	
124		21009	224893	9085
125		214927	224900	
126		108967	224896	
128		10934	224890	
129		128539	224897	
130		214928	224913	
131		21011	224892	
132		214929		
133		231901	224914	
134		147039	224909	
135		147040	224908	
136		91660	224907	
137		53580	224906	9086
138		166002	224910	
140		255626	224915	
141		73695	224921	
142		21013	224918	
144		10935	224917	
145		147041	224926	9087
146		192327	224927	
147		91662	224923	
148		108969	224931	
150		214931	224936	
152		192328		
153		108970	224932	
151		231903	224937	
154		147042	224935	9089
155		53582		
156		21017	224939	
157		147044	224947	
158		214933	224949	
159		147045	224945	
160		255627	224954	
161		73700		
162		91668		
163		214935	224964	
164		35998	224940	
165		192330	224962	
166		248104	224965	
167		73702	224957	
168			224959	
169			224953	
170		192331	224961	
171		91669	224930	9088
172		21019		
173		53589	224969	
174		35999	240475	
175		53590	224968	
176		53591	224970	
177		166006	224973	
178			224989	
179		166007	224974	
180		147048	224988	
181		21020	224980	
182		36002	236280	
183			224990	9091
184		108973	224983	
185		108974	224984	
186		128544	224995	9092
187		147050	224997	
188		128545	224996	
189		36004	236281	
190		108976	224994	
192		128546	225004	
193		214938	225006	
194		128547	225003	9093
195		53592	224999	
196		36005	236282	
197		53593		
198		108978	225002	
199		108979	225001	
200		214939		
201		108980	225000	
202		36006	225012	
203		147052	225005	
204		214940	225017	
205		128548	225014	
206		91673	225013	
208			225018	
207		10937	225009	9094
209		10938	225010	
210		128549	225015	
211		192334		
213		21026	225021	
214		73709	225024	
217		1	225019	
216		36007	225022	
218		231905	225033	
219		108982	225027	
220		53596	225023	
221		2	225020	
222		214942	225043	
224		108984		
223		108983	225028	
225		147053	225039	
226		166011	225041	
228		73712	225036	
229		36011	225034	
230		53597		
231		231906	225051	
232			225047	
233		4017	225044	
236		128552	225059	
237		192336	225049	
238		166014	225045	9095
239		108985	225058	
241		108986	225056	
242		192337	225061	
243		248107	225062	
244		53600	225054	
245		128553	225060	
247		108988		
248		108989	225057	
249		53601		
250		21032	225064	
251		166015	225070	
253		166016	225069	9096
254		36018	225068	
255		166017	225076	
256		21033	236284	
257			225077	
258		91678	225073	
259		36021		
260		231908	225091	
261		166019	225089	
262		53603		
264		53605	225083	
266		147055	225088	
265			225092	
267		128557	225086	
268		21039	240485	
269		73715	225096	
270		4020	225093	
271		192341	225100	
272		166020	225098	
273			225102	
274		10942	225094	9097
275		166021	225099	
276		73716	225097	
277		192342	225101	
278		21040	225095	
279		10943		
280		21041	225104	
281		21042	236286	
282		91679	225106	
283		91680	225107	
284		248108	225113	
285		192343	225112	
286		4022		
287		147056		
288		36023	225105	
289		231909	225122	
290			225120	
291		166023	225119	
292		4024	225114	
293		231910	225133	
294		108992	225127	
295		214944	225121	
296		166024	225118	
297		36025	225124	
298		91681	225126	
299		248109	225134	
301		147059	225132	9098
300		36027	225125	
302		10948	225136	9099
303		21046	225137	
304		73719	225149	
305		166025	225155	
306		231912	225158	
308		91682	225151	
309		214946	225157	
310		214945	225156	
311		53611	225147	
312		10950	225146	
313		214947	225167	
314		73721	225150	
315			225168	
316		91683	225161	
317		258208	225169	
318		192344	225166	
319		10952	225160	
321		166027	225175	
322		21048	225170	
324		91684	225181	
323		36030	225172	
325		53613	225173	
326		91685		
327		128561	225184	
328		192345	225187	
329			225185	
330		10954	225180	9100
332			225189	
333		147062	225186	
334		21049	240489	
335		91686	225182	
336		10955	225179	
337		166028		
339		231914	225203	
340		214949	225201	
341		166029	225199	
342		166030	225198	
343		147064	225197	9101
344			225192	
345		166031	225200	9102
346		231915	225202	
347		21050	225190	
348		91687	225194	
349		166032	225206	
351		214950	225208	
354		21052	236288	
355		147066	225212	9103
356		128564	225211	
357		255629	225233	9106
358			225235	
