1901	R And	M	5.8	0	15.2	V	53820.	409.2	38	S3,5e-S8,8e(M7e)
10687	W And	M	6.7	0	14.6	V	48654.	397.3	42	S6,1e-S9,2e
116287	Z And	ZAND	7.7	0	11.3	V				M2III+B1eq
116681	ST And	SRA	7.7	0	11.8	V	53720.	326.6	52	C4,3e-C6,4e
363	SU And	LC	8.0	0	8.5	V				C6,4(C5II)
344	SV And	M	7.7	0	14.7	V	53220.	313.	42	M5e-M7e
2546	TU And	M	7.5	0	13.5	V	53700.	316.8	48	M5e
117591	TZ And	LB:	8.0	0	9.3	V				M5-6III
12298	UY And	LB	7.4	0	12.3	V				C5,4(N3)
1593	VX And	SRA	7.5	0	9.7	V		375.		C4,5J(N7)
115065	AN And	EB	5.96	0	6.11	V	48500.732	3.21952		A7mIII-IV
2180	AQ And	SRB	7.7	0	9.5	V		169.		C5,4(Nb)
2962	BZ And	LB	7.7	0	8.6	V				K9
63	CG And	ACV	6.32	0	6.42	V	41152.67	3.73975		B9pSiEu
3494	EG And	ZAND	6.97	0	7.8	V				M2IIIep
115036	ET And	ACV	6.48	1	0.03	V		1.618875		B9pSi
2355	GN And	DSCTC	5.23	1	0.05	V		0.069304115		A9IV
3919	GO And	ACV	6.12	1	0.04	V		2.5481		A0pSrCrEu
2243	GR And	ACV	6.87	0	6.95	V		546.87		A2pSrCrEu
7651	GY And	ACV	6.27	0	6.44	V		8000.		B9VpCrEu
6560	HN And	ACV	6.67	0	6.76	V		69.92		A2pSrCrEu
7321	KK And	ACV	5.91	1	0.01	V		0.6684		B9IVpSi
114154	KX And	BE	6.88	0	7.28	V				B3pe+K1III
114329	KY And	BE	6.68	0	6.95	V				B3Vne
114379	KZ And	BY	7.91	0	8.03	V		3.03		K2Ve+K2Ve
113802	LN And	CST:	6.39	0		V				B2V
118214	LQ And	BE	6.50	0	6.66	V		0.309446		B4Ven
1799	LR And	ELL	7.10	0	7.15	V	44854.8800	1.432321		A3V
7493	OP And	RS:	6.27	0	6.41	Hp		2.35954		K1III:
7951	OQ And	LB	7.64	0	7.73	V				M3III
115200	OT And	EA	7.32	0	7.72	V	45711.73	20.85290	03	
117503	OU And	FKCOM:	5.87	0	5.94	V		24.2		G1IIIe
117963	PV And	ACV	6.91	0	6.99	V		3.5112		B9pSi
2865	PY And	ACV	6.02	1	0.03	U		4.6904		B8IIIpHgMn
10944	PZ And	ACV	5.59	1	0.05	V		4.1890		B9VpSi
5684	QU And	RS	7.25	1	0.05	V		21.08		G5IV
5939	QV And	ACV	6.22	1	0.05	U		5.229		B9IIIpSi
