# Proper motion data
# HIP	pmRA(mas/yr)	pmDE(mas/yr)
1	-4.58	-1.61
2	179.70	1.40
3	4.28	-3.42
4	62.95	0.56
5	1.54	8.30
6	225.56	-14.44
7	-208.26	-200.65
8	13.20	-10.00
9	-7.15	8.67
10	42.21	40.85
11	11.45	-2.12
12	-5.41	1.29
13	7.23	-9.97
14	62.20	-15.30
15	14.08	4.69
16	256.47	-96.05
17	-34.06	-27.59
18	-124.53	23.55
19	-3.17	-15.37
20	36.11	-22.48
21	61.48	-0.23
22	-7.26	0.84
23	52.61	8.65
24	127.65	21.92
25	61.70	-107.10
26	-102.66	-32.89
27	135.45	-114.19
28	-10.16	-8.66
29	26.30	4.62
30	-7.66	-10.46
31	-2.92	0.83
32	-0.27	-0.95
33	-1.20	28.36
34	43.60	-51.50
35	164.12	-1.11
36	49.38	14.37
37	-8.40	6.90
38	163.31	-63.08
39	167.23	-32.26
40	-3.30	-2.20
41	3.12	-0.40
42	22.84	-6.53
43	-80.74	-23.69
44	12.14	16.87
45	-26.80	1.70
46	14.71	-13.77
47	-46.11	-146.06
48	3.31	-12.30
49	25.31	6.15
50	60.10	-28.30
51	10.12	7.42
52	20.57	9.41
53	14.80	-12.97
54	364.36	-18.03
55	171.80	-34.70
56	40.20	-3.50
57	-40.14	-67.24
58	-48.02	-43.39
59	-0.99	-0.82
60	1.96	10.76
61	34.01	-16.01
62	6.00	-6.10
63	17.42	0.03
64	-7.64	-14.07
65	-204.89	-75.39
66	-15.57	11.57
67	91.59	-11.75
68	-69.00	-305.00
69	14.22	-1.86
70	-25.80	-12.80
71	-23.39	-20.80
72	187.98	-119.04
73	-20.82	17.86
74	158.77	-41.40
75	29.06	3.01
76	-0.79	-8.10
77	19.16	2.49
78	-1.30	0.70
79	15.78	-13.77
80	416.74	-83.54
81	-184.89	-172.40
82	-5.98	-65.92
83	-2.83	-0.90
84	222.30	-6.30
85	48.69	-0.36
86	11.43	1.65
87	-8.50	-10.99
88	-18.18	-5.91
89	0.89	0.22
90	25.29	-48.33
91	-15.87	-5.64
92	26.68	15.01
93	50.80	-68.70
94	48.33	-13.65
95	-10.31	-13.52
96	24.20	144.10
97	14.92	0.85
98	-2.80	1.66
99	9.30	-4.30
100	-28.27	-30.51
101	-12.86	-0.60
102	20.50	-32.50
103	-9.85	-39.80
104	-36.01	1.08
105	-5.56	-7.70
106	13.46	-11.70
107	7.96	11.29
108	13.45	15.15
109	-0.78	-8.66
110	-30.40	-47.70
111	257.47	-5.19
112	296.83	-254.79
113	-1.13	-2.82
114	-10.30	-39.80
115	-2.55	11.56
116	-24.65	-27.70
117	16.84	1.92
118	46.23	1.09
166	-47.57	-12.61
119	-10.42	-18.01
120	-20.07	-28.53
121	-18.68	-34.02
122	-57.31	-177.05
123	-43.96	3.31
124	-3.02	-0.73
125	-19.03	-28.96
126	36.65	6.24
