010001 |R     And *|002402.0+383437 |M         |  5.8    |  15.2      |            |V |53820.      |     |   409.2            |38   |S3,5e-S8,8e(M7e) |HIP   00002|
010003 |T     And  |002223.1+265946 |M         |  7.7    |  14.5      |            |V |50854.      |     |   281.0            |46   |M4e-M7.5e        |00001 00002|
010004 |U     And  |011529.7+404308 |M         |  9.0    |  15.0      |            |V |49564.      |     |   347.7            |40   |M6e              |00001 00002|
010005 |V     And  |005006.3+353910 |M         |  9.0    |  15.2      |            |V |51528.      |     |   256.4            |45   |M2e-M3e          |00001 00002|
010006 |W     And *|021733.0+441818 |M         |  6.7    |  14.6      |            |V |48654.      |     |   397.3            |42   |S6,1e-S9,2e      |HIP   00002|
010007 |X     And  |001609.5+470045 |M         |  8.5    |  15.2      |            |V |49620.      |     |   343.4            |37   |S2,9e-S5,5e      |00001 00002|
010008 |Y     And  |013936.9+392035 |M         |  8.2    |  15.1      |            |V |49489.      |     |   220.5            |47   |M3e-M4.5e        |00001 00002|
010009 |Z     And *|233340.0+484906 |ZAND      |  7.7    |  11.3      |            |V |            |     |                    |     |M2III+B1eq       |N0036 00002|
010010 |RR    And  |005123.3+342237 |M         |  8.4    |  15.6      |            |V |49644.      |     |   330.6            |52   |S6.5,2e          |00001 00002|
010011 |RS    And *|235521.8+483818 |SRA       |  7.0    |   9.4      |            |V |38803.      |     |   136.             |     |M7-M10           |00001 DM   |
010012 |RT    And *|231110.1+530133 |EA/RS     |  8.97   |   9.83     |   9.28     |V |51421.737   |     |     0.6289216      |17  *|F8V+K1           |00001 HIP  |
010013 |RU    And *|013836.3+384014 |SRA       |  9.9    |  14.5      |            |V |            |     |   238.3            |49   |M5e-M6e          |00001 00002|
010014 |RV    And  |021102.6+485645 |SRA       |  9.0    |  11.5      |            |V |48667.      |     |   168.9            |     |M4e              |00001 00002|
010015 |RW    And  |004718.9+324109 |M         |  7.9    |  15.7      |            |V |53360.      |     |   430.             |36   |M5e-M10e(S6,2e)  |00001 00002|
010016 |RX    And *|010435.5+411758 |UGZ       | 10.2    |  15.1      |            |V |            |     |(   13.           ) |     |pec(UG)          |09782 72085|
010017 |RY    And *|232037.5+393714 |M         | 10.0    |  15.3      |            |V |53400.      |     |   391.2            |     |M8               |00001 00002|
010018 |RZ    And  |230930.0+530240 |CST       |  9.43   |            |            |V |            |     |                    |     |K0               |00098 00002|
010019 |SS    And *|231130.1+525313 |SRC       | 10.0    |  11.4      |            |p |            |     |   152.5            |     |M6II             |00098 00098|
010020 |ST    And  |233845.1+354621 |SRA       |  7.7    |  11.8      |            |V |53720.      |     |   326.6            |52   |C4,3e-C6,4e      |00001 00002|
010021 |SU    And *|000436.4+433305 |LC        |  8.0    |   8.5      |            |V |            |     |                    |     |C6,4(C5II)       |      HIP  |
010022 |SV    And *|000420.1+400636 |M         |  7.7    |  14.7      |            |V |53220.      |     |   313.             |42   |M5e-M7e          |00001 00002|
010023 |SW    And *|002343.1+292404 |RRAB      |  9.14   |  10.09     |            |V |53735.538   |     |     0.4422618      |17   |A7III-F8III      |00001 HIP  |
010024 |SX    And  |013335.9+463113 |M         |  8.7    |< 14.0      |            |V |53208.      |     |   332.8            |     |M6.5e            |00001 00002|
010025 |SY    And *|001316.4+434241 |EA        | 10.7    |  12.2      |            |V |17796.36    |     |    34.90847        |06   |A0+K1            |08006 08006|
010026 |SZ    And  |225934.5+425031 |M         |  9.5    |< 17.0      |            |V |53520.      |     |   344.             |42   |M2e              |00001 00002|
