010004 |U     And  |011529.7+404308 |M         |  9.0    |  15.0      |V |49564.      |     |   347.7            |40   |M6e              |00001 00002|
010005 |V     And  |005006.3+353910 |M         |  9.0    |  15.2      |V |51528.      |     |   256.4            |45   |M2e-M3e          |00001 00002|
010007 |X     And  |001609.5+470045 |M         |  8.5    |  15.2      |V |49620.      |     |   343.4            |37   |S2,9e-S5,5e      |00001 00002|
010008 |Y     And  |013936.9+392035 |M         |  8.2    |  15.1      |V |49489.      |     |   220.5            |47   |M3e-M4.5e        |00001 00002|
010010 |RR    And  |005123.3+342237 |M         |  8.4    |  15.6      |V |49644.      |     |   330.6            |52   |S6.5,2e          |00001 00002|
010012 |RT    And *|231110.1+530133 |EA/RS     |  8.97   |   9.83     |V |51421.737   |     |     0.6289216      |17  *|F8V+K1           |00001 HIP  |
010013 |RU    And *|013836.3+384014 |SRA       |  9.9    |  14.5      |V |            |     |   238.3            |49   |M5e-M6e          |00001 00002|
010014 |RV    And  |021102.6+485645 |SRA       |  9.0    |  11.5      |V |48667.      |     |   168.9            |     |M4e              |00001 00002|
010016 |RX    And *|010435.5+411758 |UGZ       | 10.2    |  15.1      |V |            |     |(   13.           ) |     |pec(UG)          |09782 72085|
010017 |RY    And *|232037.5+393714 |M         | 10.0    |  15.3      |V |53400.      |     |   391.2            |     |M8               |00001 00002|
010018 |RZ    And  |230930.0+530240 |CST       |  9.43   |            |V |            |     |                    |     |K0               |00098 00002|
010019 |SS    And *|231130.1+525312 |SRC       | 10.0    |  11.4      |p |            |     |   152.5            |     |M6II             |00098 00098|
010023 |SW    And *|002343.1+292404 |RRAB      |  9.14   |  10.09     |V |53735.538   |     |     0.4422618      |17   |A7III-F8III      |00001 HIP  |
010024 |SX    And  |013335.9+463113 |M         |  8.7    |< 14.0      |V |53208.      |     |   332.8            |     |M6.5e            |00001 00002|
010025 |SY    And *|001316.4+434241 |EA        | 10.7    |  12.2      |V |17796.36    |     |    34.90847        |06   |A0+K1            |08006 08006|
010026 |SZ    And  |225934.5+425031 |M         |  9.5    |< 17.0      |V |53520.      |     |   344.             |42   |M2e              |00001 00002|
010027 |TT    And *|231322.9+460851 |EA        | 11.5    |  13.1      |V |53662.4564  |     |     2.765101       |09  *|A                |N0038 GSC  |
010029 |TV    And  |225803.0+424411 |SRB       |  8.3    |  11.5      |V |            |     |   110.             |     |M4e-M5e          |00001 00002|
010030 |TW    And *|000318.2+325045 |EA        |  8.98   |  11.04     |V |53693.355   |     |     4.122834       |13   |F0V+K0           |00001 HIP  |
010031 |TX    And *|012158.4+384143 |M:        | 10.4    |  13.8      |V |32461.      |     |   233.4            |60   |M1e              |00001 00002|
010032 |TY    And  |231444.2+404739 |SRB       |  8.8    |  10.5      |V |            |     |   260.          :  |     |M5e-M6e          |00001 00002|
010034 |UU    And *|004345.1+305620 |EA        | 11.2    |  14.2      |V |52925.426   |     |     1.486293       |17  *|A8IV/V           |00001 01136|
010035 |UV    And  |012917.6+363922 |SRB       | 10.84   |  11.9      |V |            |     |   227.             |     |                 |75119 75119|
010036 |UW    And  |001410.9+290121 |M         |  9.4    |< 15.0      |V |54024.      |     |   237.             |     |M5               |00001 00002|
010037 |UX    And  |023328.8+453916 |SRB       |  8.2    |   9.9      |V |            |     |   200.             |     |M6III            |00001 00002|
010039 |UZ    And  |011611.2+414458 |M         |  9.1    |  15.6      |V |53990.      |     |   316.0            |41   |M7e              |00001 00002|
010041 |VW    And  |000440.1+344514 |CST       | 11.3    |            |V |            |     |                    |     |                 |00681 UCAC2|
010043 |VY    And  |230149.5+455309 |SRB       |  9.6    |  11.8      |V |            |     |   149.          :  |     |C3,5J-C4,4-5(R8) |00310 00002|
010045 |WW    And *|234453.5+454111 |EA        | 10.92   |(  0.67    )|V |34618.185   |     |    23.285213       |05  *|A5+F3p           |N0040 HIP  |
010047 |WY    And *|234129.7+473544 |SRD       |  8.65   |   9.65     |V |            |     |   109.65           |43   |G2e-K2(M3)       |N0042 DM   |
010048 |WZ    And *|010143.6+380547 |EB        | 11.16   |  12.00     |V |52500.2323  |     |     0.6956638      |     |F5               |N0041 00002|
010049 |XX    And *|011727.4+385702 |RRAB      | 10.08   |  11.13     |V |53662.575   |     |     0.722757       |19   |A8-F6            |00001 00002|
010051 |XZ    And *|015651.5+420602 |EA        |  9.91   |  12.45     |V |52500.5129  |     |     1.3573091      |16  *|A1V              |N0041 00002|
010053 |YZ    And  |002714.2+305349 |M         |  9.7    |  15.9      |V |54092.      |     |   207.0            |     |M5e              |00001 00002|
